tracepoint,event_type,event_id,core_ts_us,ipc_worker_ts_us,ipc_latency_us,params
(internal BlockChecked),block_validated,0f9188f13cb7b2c71f2a335e3a4fc328bf5beb436012afca590b1a11466e2206,237072272531,160691977020,-76380295511,"{""type"":""block_validated"",""hash"":""0f9188f13cb7b2c71f2a335e3a4fc328bf5beb436012afca590b1a11466e2206"",""height"":-1,""tx_count"":1,""received_us"":237072272531,""validated_us"":237072272531,""accepted"":true}"
utxocache:add,utxocache_add,0fe8834d16b27a0e717a9214013f11a7b3d3b310be7ffc79d9e68f2f5ab02f4d:0,237073234739,160692916557,-76380318182,"{""type"":""utxocache_add"",""txid"":""0fe8834d16b27a0e717a9214013f11a7b3d3b310be7ffc79d9e68f2f5ab02f4d"",""vout"":0,""height"":1,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237073234739}"
utxocache:add,utxocache_add,0fe8834d16b27a0e717a9214013f11a7b3d3b310be7ffc79d9e68f2f5ab02f4d:0,237073234893,160692916662,-76380318231,"{""type"":""utxocache_add"",""txid"":""0fe8834d16b27a0e717a9214013f11a7b3d3b310be7ffc79d9e68f2f5ab02f4d"",""vout"":0,""height"":1,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237073234893}"
validation:block_connected,block_connected,4c24e2e74f1a2aa955cfde07d4edaec1bfab2637e637a0156c9deab0384c3b3a,237073235295,160692917094,-76380318201,"{""type"":""block_connected"",""hash"":""4c24e2e74f1a2aa955cfde07d4edaec1bfab2637e637a0156c9deab0384c3b3a"",""height"":1,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":406000,""timestamp_us"":237073235295}"
(internal BlockChecked),block_validated,4c24e2e74f1a2aa955cfde07d4edaec1bfab2637e637a0156c9deab0384c3b3a,237073235299,160692917139,-76380318160,"{""type"":""block_validated"",""hash"":""4c24e2e74f1a2aa955cfde07d4edaec1bfab2637e637a0156c9deab0384c3b3a"",""height"":-1,""tx_count"":1,""received_us"":237073235299,""validated_us"":237073235299,""accepted"":true}"
utxocache:add,utxocache_add,ee51ec1131053d114172eebe4c49e70eac2de8c6d78bbabef7df6539ac891257:0,237073235754,160692917669,-76380318085,"{""type"":""utxocache_add"",""txid"":""ee51ec1131053d114172eebe4c49e70eac2de8c6d78bbabef7df6539ac891257"",""vout"":0,""height"":2,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237073235754}"
utxocache:add,utxocache_add,ee51ec1131053d114172eebe4c49e70eac2de8c6d78bbabef7df6539ac891257:0,237073235969,160692917703,-76380318266,"{""type"":""utxocache_add"",""txid"":""ee51ec1131053d114172eebe4c49e70eac2de8c6d78bbabef7df6539ac891257"",""vout"":0,""height"":2,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237073235969}"
validation:block_connected,block_connected,0ed5c18a4db2842411db6cd00c412dddf4fc8224a5f2c4fe7e1aa034caadfc4b,237073236112,160692917797,-76380318315,"{""type"":""block_connected"",""hash"":""0ed5c18a4db2842411db6cd00c412dddf4fc8224a5f2c4fe7e1aa034caadfc4b"",""height"":2,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":151667,""timestamp_us"":237073236112}"
(internal BlockChecked),block_validated,0ed5c18a4db2842411db6cd00c412dddf4fc8224a5f2c4fe7e1aa034caadfc4b,237073236114,160692917831,-76380318283,"{""type"":""block_validated"",""hash"":""0ed5c18a4db2842411db6cd00c412dddf4fc8224a5f2c4fe7e1aa034caadfc4b"",""height"":-1,""tx_count"":1,""received_us"":237073236114,""validated_us"":237073236114,""accepted"":true}"
utxocache:add,utxocache_add,cdc15087eb6a1a4e0c31374c98bd9e761c639a0aef86274980ffed7d32a9cd0b:0,237073236236,160692917918,-76380318318,"{""type"":""utxocache_add"",""txid"":""cdc15087eb6a1a4e0c31374c98bd9e761c639a0aef86274980ffed7d32a9cd0b"",""vout"":0,""height"":3,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237073236236}"
